Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Extent,roundness,Class
39108,717.398,256.096468,194.8200229,1.314528477,0.787721312,0.954893962,SEKER
39122,725.817,245.3724594,203.2058018,1.207507154,0.790774766,0.933204106,SEKER
39122,711.642,241.6425026,206.4591779,1.170412985,0.791686903,0.970750828,SEKER
39123,714.166,246.145837,202.5723123,1.215101088,0.771748136,0.963925951,SEKER
39124,714.589,250.9005173,198.8473915,1.261774245,0.768584001,0.962809709,SEKER
39139,714.71,254.9119117,195.7036086,1.302540682,0.79408781,0.962852743,SEKER
39141,713.315,254.0004503,196.5365763,1.292382594,0.760758017,0.966671841,SEKER
39141,711.099,249.1619299,200.2064042,1.244525273,0.759341171,0.972706113,SEKER
39145,716.674,252.7945232,197.7307919,1.278478283,0.765208382,0.957729497,SEKER
39152,721.127,243.7752217,204.7996083,1.190310977,0.787449718,0.946107103,SEKER
39158,727.678,243.0275665,205.6639014,1.181673423,0.76331384,0.92929131,SEKER
39159,725.519,257.1827991,194.0830594,1.325117194,0.753927609,0.934854184,SEKER
39160,731.796,261.6340031,190.7172146,1.371842619,0.747256941,0.918908956,SEKER
39175,719.195,259.1594304,192.8686345,1.343709572,0.756390948,0.95175584,SEKER
39180,709.775,243.8445023,204.6504117,1.191517282,0.757306324,0.977311252,SEKER
39183,721.153,254.1591215,196.5899686,1.292838711,0.753765654,0.946787944,SEKER
39188,713.669,247.4283258,201.7753134,1.226256679,0.763958203,0.966872701,SEKER
39192,709.658,242.1603202,206.3862512,1.173335524,0.782978723,0.977932962,SEKER
39195,738.413,249.8854677,199.8315177,1.250480758,0.754040015,0.903320497,SEKER
39198,717.099,238.3108727,210.1234219,1.134147115,0.797680098,0.957889778,SEKER
39202,723.947,250.4261713,199.5413702,1.255008779,0.783272393,0.939949547,SEKER
39208,713.397,251.5902296,198.6111972,1.26674746,0.77639604,0.968103959,SEKER
39215,709.517,244.5157546,204.7266034,1.194352617,0.77324263,0.978895816,SEKER
39215,721.759,257.1489238,194.5365872,1.321853784,0.738679174,0.945970661,SEKER
39224,715.918,247.3995557,202.1959303,1.223563478,0.778439311,0.961690178,SEKER
39227,726.769,265.0177469,188.7226379,1.404271103,0.739852886,0.933258965,SEKER
39234,715.421,256.6452699,194.9617023,1.316388126,0.793086719,0.963272326,SEKER
39245,713.933,242.4137474,206.4400701,1.174257242,0.779134405,0.96756307,SEKER
39246,715.008,247.4818391,202.1018397,1.224540258,0.778875923,0.964680415,SEKER
39257,723.526,255.0806668,196.2999924,1.299443081,0.760455611,0.942364002,SEKER
39261,714.215,243.4054931,205.5627348,1.184093476,0.77946753,0.967193317,SEKER
39263,742.362,259.6170179,193.875323,1.339092639,0.781586543,0.895286174,SEKER
39273,729.415,253.7961875,197.5272,1.284867034,0.753540044,0.927586803,SEKER
39276,720.452,260.4767598,192.2367397,1.354979075,0.745699639,0.950882846,SEKER
39276,725.636,258.2334199,193.9547648,1.331410549,0.773987585,0.937345015,SEKER
39277,720.153,256.9960951,194.8667003,1.318830229,0.772773777,0.951696834,SEKER
39282,750.197,269.8512008,185.8198303,1.452219606,0.70901018,0.877107469,SEKER
39285,727.629,245.869882,203.6568336,1.207275384,0.755771451,0.932430824,SEKER
39285,727.618,252.3515449,198.7563944,1.269652459,0.784507549,0.932459017,SEKER
39288,723.891,259.4464115,193.0356505,1.344033658,0.752759044,0.942157329,SEKER
39295,732.803,244.1990998,205.4712787,1.188482894,0.805390449,0.919544349,SEKER
39301,729.001,250.5915313,200.0800501,1.25245636,0.764968078,0.929302738,SEKER
39306,724.304,252.6462868,198.3559858,1.27370135,0.753103924,0.941514356,SEKER
39313,714.895,243.9936667,205.4573381,1.187563652,0.769907172,0.966632808,SEKER
39323,747.5,249.5685292,200.9352017,1.24203488,0.768687935,0.884370227,SEKER
39325,719.707,251.611543,199.3970376,1.261861991,0.776376056,0.954041226,SEKER
39330,724.501,245.1474137,204.4476139,1.199072021,0.786285486,0.941576979,SEKER
39334,714.221,241.0411743,208.2253658,1.157597555,0.801295632,0.968975389,SEKER
39336,722.8,260.6452398,192.3676739,1.354932638,0.775857988,0.94615823,SEKER
39336,729.453,236.7284437,211.6749802,1.118358171,0.780941036,0.928978001,SEKER
39339,721.525,250.3478614,200.326947,1.249696384,0.778928402,0.949577494,SEKER
39341,732.772,262.0481189,191.55707,1.367989805,0.768138863,0.920698693,SEKER
39343,716.234,250.6220206,200.3343357,1.251018802,0.74407565,0.963756833,SEKER
39364,714.687,249.3821884,201.1797264,1.239599004,0.78476874,0.968450265,SEKER
39366,724.816,254.7489051,196.9520753,1.293456313,0.784433286,0.941619858,SEKER
39367,728.934,247.7471723,202.5006354,1.223438988,0.767447754,0.931034488,SEKER
39371,717.522,251.0533206,199.8683285,1.256093561,0.792300572,0.960983358,SEKER
39383,717.481,247.2889133,203.0436418,1.217910155,0.774645948,0.961386125,SEKER
39385,748.882,258.7458213,194.2559154,1.331984258,0.767110748,0.882498406,SEKER
39397,718.796,259.9423111,193.083996,1.346265441,0.790184123,0.958212238,SEKER
39404,715.247,251.8176115,199.4928233,1.262289075,0.789058432,0.967916926,SEKER
39408,711.634,247.1699932,203.1125549,1.216911447,0.795590818,0.977869453,SEKER
39417,714.124,245.986065,204.3138552,1.203961742,0.774674738,0.971283863,SEKER
39420,720.487,251.8592089,199.7966878,1.260577498,0.740420736,0.954276405,SEKER
39430,755.532,236.7695239,213.2600465,1.110238546,0.782807227,0.868022364,SEKER
39436,726.064,256.8395269,196.2151501,1.308968889,0.779367589,0.940054243,SEKER
39436,717.903,242.9095664,207.0273819,1.17332096,0.762401887,0.96154848,SEKER
39444,726.844,250.9492076,200.4533686,1.251908158,0.746225737,0.938228011,SEKER
39445,725.307,258.5095736,194.66685,1.327958888,0.753184014,0.942232514,SEKER
39446,724.726,253.9489856,197.8599896,1.283478212,0.772632898,0.943767788,SEKER
39450,747.706,255.7493608,196.5571803,1.301144839,0.748520036,0.886737633,SEKER
39452,735.692,261.3192103,192.6265296,1.356610695,0.736429478,0.915981751,SEKER
39454,717.993,255.6058624,196.9123275,1.298069378,0.796567737,0.961746211,SEKER
39455,726.205,248.3634207,202.617037,1.225777577,0.781581189,0.940141973,SEKER
39462,720.25,233.5236698,215.4661437,1.083806791,0.776077722,0.955921924,SEKER
39488,741.696,245.021911,205.6215787,1.191615747,0.746521476,0.902034459,SEKER
39493,720.349,246.9105923,204.1021982,1.209739995,0.799971642,0.956409924,SEKER
39504,725.338,243.6988427,206.7136807,1.178919759,0.767813411,0.943561204,SEKER
39506,725.692,243.1820843,206.996576,1.17481211,0.774172056,0.942688594,SEKER
39509,737.717,261.8813448,192.28283,1.361959073,0.773321589,0.912276145,SEKER
39514,721.708,258.2234064,195.1428176,1.323253449,0.763334299,0.95331806,SEKER
39515,714.776,238.9512884,210.6437034,1.134386096,0.796207862,0.97192315,SEKER
39524,721.543,248.8682306,202.4588745,1.229228559,0.750693257,0.953995485,SEKER
39528,718.837,245.4560643,205.1241486,1.196621977,0.7705864,0.961288748,SEKER
39535,723.825,254.5019092,198.2914786,1.283473758,0.747947331,0.948253489,SEKER
39569,726.291,258.1734881,195.817456,1.318439599,0.734118738,0.942635114,SEKER
39573,719.251,245.3796561,205.8101582,1.192262123,0.779732818,0.961275537,SEKER
39579,721.252,242.0461419,208.4598355,1.161116439,0.769046925,0.956094061,SEKER
39581,717.629,237.0136344,212.803796,1.113766008,0.775322716,0.965821047,SEKER
39598,715.191,245.7534219,205.3312462,1.196863246,0.783994615,0.972834657,SEKER
39614,720.724,249.8716832,202.0126213,1.236911246,0.755415713,0.958342157,SEKER
39621,733.765,256.3900083,197.0049405,1.301439485,0.783891263,0.924743552,SEKER
39622,723.79,250.3520465,201.7265508,1.241046582,0.797544283,0.950432111,SEKER
39628,723.609,250.1148624,201.8703277,1.238987746,0.752554218,0.95105164,SEKER
39629,719.764,245.4139047,205.8607852,1.19213528,0.749640587,0.961264127,SEKER
39635,717.433,251.5773744,200.855151,1.252531355,0.764121843,0.967667217,SEKER
39645,715.39,251.0146923,201.2619935,1.247203647,0.772265077,0.973447549,SEKER
39668,716.495,251.6618099,200.9251847,1.252515011,0.801535664,0.971010308,SEKER
39669,715.564,248.0761897,203.9009533,1.216650465,0.777411958,0.973563202,SEKER
39670,722.087,249.9397668,202.2636017,1.235713024,0.796346482,0.956077311,SEKER
39676,721.502,240.6243367,210.2338045,1.144555878,0.773562098,0.95777317,SEKER
39686,715.976,239.5991081,211.2604241,1.134140997,0.780452311,0.97285981,SEKER
39698,742.795,251.1406602,201.8931814,1.243928391,0.745082583,0.904150128,SEKER
39701,718.722,253.7053814,199.3061297,1.272943194,0.77762761,0.965804962,SEKER
39703,720.914,248.6120893,203.4531535,1.221962329,0.763768924,0.959989027,SEKER
39706,720.946,254.1695308,199.0732138,1.276764091,0.783124926,0.959976339,SEKER
39709,719.045,253.6662173,199.5592514,1.271132336,0.772338274,0.965131906,SEKER
39721,739.568,257.0632043,197.128875,1.304036277,0.784550357,0.912586026,SEKER
39728,727.917,249.8275953,202.9217998,1.231152078,0.767557333,0.94219944,SEKER
39733,727.157,256.3330274,197.8357879,1.295685831,0.761051946,0.944288809,SEKER
39746,727.669,233.9385415,216.4976009,1.08055951,0.782740557,0.943268964,SEKER
39754,721.292,252.4577187,201.1918221,1.254811036,0.791912351,0.960214957,SEKER
39755,737.943,266.0855742,190.7552772,1.394905442,0.733027252,0.917394193,SEKER
39757,719.823,247.9948932,204.4680936,1.212878199,0.775746341,0.964210888,SEKER
39764,722.344,252.7578302,200.5577303,1.260274684,0.767422561,0.957660974,SEKER
39765,736.601,253.9681095,199.938391,1.270231836,0.749759602,0.92097161,SEKER
39767,724.386,251.4068347,201.6250403,1.246902837,0.784854346,0.952341252,SEKER
39774,719.525,241.5072623,209.9863069,1.150109576,0.756447318,0.965422369,SEKER
39779,719.021,252.4796509,200.8914979,1.256796099,0.775298199,0.966897808,SEKER
39790,734.078,248.1616598,204.3892451,1.214162026,0.781237729,0.927896178,SEKER
39803,727.139,252.3173029,201.6824304,1.251062387,0.79115484,0.945999253,SEKER
39807,719.325,241.4601844,210.0513829,1.149529135,0.78707292,0.966760737,SEKER
39826,732.976,247.0394731,205.7130783,1.200893376,0.791753643,0.931530425,SEKER
39833,720.171,247.1659123,205.3478178,1.203645186,0.762850467,0.965120681,SEKER
39834,723.396,258.4963084,196.3030168,1.316822902,0.774980545,0.956558592,SEKER
39835,731.546,249.6095936,203.4462417,1.22690688,0.793778894,0.935387163,SEKER
39859,724.609,255.68461,198.75285,1.286444999,0.785476402,0.953957035,SEKER
39868,732.632,255.1164421,199.1201328,1.281218722,0.753876409,0.933388715,SEKER
39872,721.45,249.1060397,204.0649358,1.220719467,0.779831407,0.962643337,SEKER
39883,729.422,245.9412377,206.7585615,1.189509329,0.757511871,0.94197628,SEKER
39890,721.856,247.1639918,205.8736784,1.200561401,0.757644824,0.961994877,SEKER
39898,714.231,239.7597897,212.0498822,1.130676363,0.780477308,0.982841753,SEKER
39898,743.961,257.4361065,197.9190711,1.300713999,0.761528478,0.905859099,SEKER
39901,730.829,258.1497116,197.1490328,1.30941404,0.769324207,0.938776262,SEKER
39901,716.133,239.5019006,212.5000815,1.127067335,0.79623643,0.977701475,SEKER
39926,723.237,248.2750461,205.0050383,1.211068021,0.781025039,0.959189452,SEKER
39928,737.776,252.9698984,201.198248,1.257316607,0.748261839,0.921803545,SEKER
39930,721.559,251.5436147,202.2441844,1.243761918,0.769319693,0.963752412,SEKER
39935,737.056,253.3272387,200.9774282,1.26047607,0.782210992,0.923767292,SEKER
39940,730.921,252.61567,201.6012004,1.253046457,0.755981224,0.939457299,SEKER
39948,731.068,244.969135,207.9641485,1.177939259,0.77203154,0.939267631,SEKER
39951,725.181,247.9193354,205.563491,1.206047505,0.761885691,0.954651116,SEKER
39951,739.057,250.3835048,203.4797749,1.230508069,0.755360182,0.919139963,SEKER
39951,718.307,247.2965346,205.9721726,1.200630801,0.80864285,0.973010039,SEKER
39965,739.181,248.2454739,205.4197384,1.208479165,0.783627451,0.919153597,SEKER
39984,729.801,254.4318151,200.5811621,1.268473133,0.820891845,0.943381151,SEKER
39989,718.723,247.1612238,206.1444571,1.19897099,0.756064359,0.972808422,SEKER
39998,720.425,251.3019462,202.8546516,1.238827625,0.78868185,0.968435252,SEKER
40000,738.009,264.5890485,192.7659959,1.372591921,0.727563753,0.922882773,SEKER
40000,727.877,246.6991625,206.8884621,1.192425909,0.755857899,0.94875453,SEKER
40009,742.191,265.1094339,192.6296891,1.376264662,0.777628766,0.912717113,SEKER
40021,719.269,252.3099645,202.1951506,1.247853688,0.782332473,0.972109337,SEKER
40024,724.462,240.429845,212.0852829,1.133647001,0.766655174,0.958294803,SEKER
40025,725.214,248.4302657,206.0361603,1.20576051,0.771016335,0.956332347,SEKER
40044,723.751,262.6894735,194.2903007,1.352046255,0.781803983,0.960658353,SEKER
40055,723.478,244.8988107,208.4679095,1.17475544,0.791272397,0.961647576,SEKER
40064,726.711,253.531331,201.601967,1.257583618,0.766452403,0.953324388,SEKER
40064,721.433,241.5127855,211.386698,1.142516477,0.794463503,0.967324446,SEKER
40067,724.428,245.5094589,208.0580814,1.180004436,0.76456445,0.959414403,SEKER
40091,727.083,261.3132862,195.560116,1.336229961,0.786823151,0.952990941,SEKER
40098,718.837,248.4775273,205.7908678,1.207427375,0.796084893,0.975150683,SEKER
40111,740.571,250.5138387,204.0125498,1.227933473,0.760311623,0.919051716,SEKER
40113,726.074,251.5681979,203.2981915,1.23743451,0.783579466,0.956165868,SEKER
40115,735.396,252.9439951,202.9171526,1.246538264,0.763658862,0.932124952,SEKER
40116,724.693,254.8224466,200.6987207,1.269676487,0.778800233,0.959885329,SEKER
40119,734.219,264.7946821,193.1224646,1.37112315,0.753408451,0.935209103,SEKER
40123,724.676,257.4020891,198.7044522,1.29540172,0.794987121,0.960097867,SEKER
40126,730.299,265.7384078,192.4268591,1.38098397,0.784584401,0.945440758,SEKER
40126,721.437,250.2511912,204.3694336,1.224504011,0.760956553,0.96881066,SEKER
40142,735.881,265.0161237,193.2607067,1.371288185,0.781855011,0.931523233,SEKER
40143,721.446,251.9267346,203.1890745,1.239863586,0.747820417,0.96919693,SEKER
40146,732.715,254.082944,201.5371523,1.260725088,0.767257855,0.939684319,SEKER
40150,722.163,251.2671837,203.6652507,1.233726337,0.765855985,0.96744202,SEKER
40154,729.638,241.2845985,211.9747376,1.138270537,0.76663421,0.947815464,SEKER
40161,724.95,246.4546274,207.7667023,1.186208496,0.777319707,0.960280862,SEKER
40166,731.962,252.6270582,202.9400534,1.244835872,0.753866366,0.942087796,SEKER
40168,737.07,256.077799,199.9792023,1.280522155,0.79617847,0.929121698,SEKER
40172,721.945,244.9037122,209.3768052,1.169679287,0.819736359,0.968556795,SEKER
40196,729.067,251.1953254,204.32065,1.22941722,0.77297027,0.950293633,SEKER
40197,742.209,256.7947879,199.5419875,1.286921069,0.76230301,0.91696144,SEKER
40202,726.182,251.7947693,203.4919059,1.237369949,0.756757774,0.958002326,SEKER
40242,734.477,247.4112737,207.4393603,1.19269204,0.772695853,0.93741742,SEKER
40243,727.238,252.2630647,203.2597386,1.241087224,0.795441967,0.956196358,SEKER
40248,726.411,258.65391,198.817381,1.300962263,0.808452515,0.95849388,SEKER
40248,725.14,256.4383641,200.0144013,1.282099501,0.757894737,0.961856854,SEKER
40265,729.52,257.4510539,199.6496894,1.289513921,0.798433472,0.950743056,SEKER
40272,723.726,249.7229125,205.5231241,1.215059929,0.76847629,0.966194836,SEKER
40273,722.923,252.3737035,203.387468,1.240851789,0.778583304,0.968366511,SEKER
40285,737.587,261.9989488,195.9536041,1.337045828,0.745562897,0.93052217,SEKER
40286,764.364,256.2641648,200.7891122,1.276285163,0.758881814,0.866490017,SEKER
40289,734.253,247.6013205,207.3716569,1.193997888,0.772530296,0.939084977,SEKER
40310,729.425,255.4046089,201.238656,1.269162764,0.751659581,0.952053544,SEKER
40326,730.663,254.9126039,201.7151454,1.263725654,0.792991564,0.949206664,SEKER
40329,724.982,251.3028696,205.058574,1.225517494,0.790826732,0.964212749,SEKER
40334,737.758,249.8537724,206.0059466,1.212847379,0.81031019,0.931222162,SEKER
40338,730.78,262.069701,196.2671315,1.33527045,0.779342723,0.949185116,SEKER
40339,732.176,254.6785591,202.3967107,1.258313725,0.803565737,0.945592489,SEKER
40348,744.73,255.925469,201.3583309,1.270995185,0.762117034,0.914185184,SEKER
40363,736.091,268.6974505,191.7105261,1.401579016,0.740388143,0.936117333,SEKER
40367,732.896,262.7937627,195.9637197,1.341032734,0.768895238,0.944390557,SEKER
40381,724.736,254.3755015,202.3771867,1.25693763,0.747298098,0.966111528,SEKER
40388,729.945,261.2279958,197.1404288,1.325085866,0.784537685,0.952537178,SEKER
40392,736.057,267.2763526,192.6563401,1.387321863,0.768844221,0.93687646,SEKER
40393,730.714,250.9649438,205.3280835,1.222263119,0.766834362,0.950651017,SEKER
40398,724.683,252.2341418,204.023122,1.236301745,0.792117647,0.96665963,SEKER
40409,734.88,246.3011391,209.0904901,1.17796433,0.772786384,0.94027548,SEKER
40415,730.648,258.6716558,199.1611376,1.298805876,0.770837307,0.951340635,SEKER
40422,739.701,249.0428645,206.8429976,1.204018832,0.768771396,0.9283575,SEKER
40422,726.959,259.1305337,198.9789429,1.302301288,0.782507695,0.961186863,SEKER
40429,723.823,243.9451797,211.2326665,1.15486484,0.790864632,0.969701585,SEKER
40445,730.904,258.3133109,199.9540393,1.291863429,0.767981923,0.95138002,SEKER
40446,742.366,264.1369026,195.4214614,1.351626892,0.732876712,0.922251341,SEKER
40453,728.447,258.3112058,199.5561865,1.294428453,0.780704802,0.957998172,SEKER
40459,733.681,247.9781156,208.0100795,1.192144709,0.782648225,0.944518489,SEKER
40459,726.133,250.0517074,206.2642772,1.212287997,0.758568322,0.964256688,SEKER
40462,733.598,248.2216581,207.7497855,1.194810659,0.792005951,0.94480228,SEKER
40462,741.338,249.6428546,206.6216739,1.208212332,0.792906134,0.925176698,SEKER
40464,763.363,239.6600281,216.0699803,1.109177813,0.748557052,0.872602522,SEKER
40480,732.301,261.3224503,197.5627564,1.322731344,0.784739454,0.948573775,SEKER
40484,733.501,254.4467838,202.7484452,1.254987596,0.758681434,0.945566026,SEKER
40485,733.929,255.6823119,202.1582879,1.264762946,0.792177044,0.944486839,SEKER
40486,727.273,244.537238,211.0640645,1.15859248,0.789616367,0.961877587,SEKER
40504,740.479,245.5417356,210.4261872,1.166878224,0.763189629,0.928287036,SEKER
40504,727.151,258.4341131,199.8847877,1.292915364,0.756207759,0.962628171,SEKER
40512,737.636,248.20203,208.5251515,1.190273826,0.744268078,0.935641205,SEKER
40516,733.046,255.9552003,201.8966982,1.267753275,0.772336491,0.947488549,SEKER
40527,730.217,254.2947868,203.1343886,1.251854935,0.772531453,0.955103511,SEKER
40527,754.329,234.8360911,220.4469239,1.065272706,0.769451301,0.895019941,SEKER
40533,755.94,252.952624,204.3172472,1.238038528,0.767205482,0.891341157,SEKER
40547,725.149,259.024364,199.592115,1.297768521,0.761989777,0.968978378,SEKER
40566,737.031,268.8877131,192.4178301,1.397415785,0.788362873,0.938427099,SEKER
40570,737.047,248.7193482,208.3152297,1.193956623,0.750684627,0.938478886,SEKER
40572,743.746,241.1378398,214.7057229,1.123108581,0.758922559,0.921694498,SEKER
40572,725.331,250.7140143,206.4719349,1.21427648,0.767478814,0.969089309,SEKER
40580,925.731,259.0915135,200.5185355,1.29210755,0.751258886,0.595048401,SEKER
40587,746.02,262.969584,196.7418707,1.336622362,0.777528736,0.916422776,SEKER
40591,727.926,252.6683515,204.9644805,1.232742136,0.795434058,0.962642765,SEKER
40596,735.327,255.3608197,202.755831,1.259449942,0.780392157,0.943478661,SEKER
40596,730.855,255.7932184,202.3595153,1.264053326,0.768397941,0.955060015,SEKER
40609,725.346,250.9367773,206.381122,1.215890169,0.778487079,0.969932961,SEKER
40622,727.43,250.4514143,206.7284747,1.211499357,0.765009416,0.964692162,SEKER
